Unnamed: 0,headlines,date,time,author,read_more,image_url,ctext,summary
0,NTA postpones NEET UG 2023 examination in Manipur amid violence,2023-05-06,04:19 pm,Shalini Ojha,https://www.timesnownews.com/education/neet-ug-2023-postponed-in-manipur-due-to-violence-nta-to-announce-date-shortly-article-100034444/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683369201797_33.jpg,"National Eligibility cum Entrance Test,NEET UG 2023Exam is scheduled to be conducted tomorrow, on May 7, 2023. the exam will be conducted at various exam centers across India. However, candidates who were supposed to sit for the exam inManipurshould know thatNEETUG 2023 exam has been postponed in Manipur. It has been decided considering the ongoing Manipur violence.","National Eligibility cum Entrance Test,NEET UG 2023Exam is scheduled to be conducted tomorrow, on May 7, 2023. The exam will be conducted at various exam centers across India. However, candidates who were supposed to sit for the exam inManipurshould know thatNEETUG 2023 exam has been postponed. It has been decided considering the ongoing Manipur violence."
1,Moment of pride: Sunak on UK King Charles' multifaith coronation,2023-05-06,02:45 pm,Disha Jana,https://www.hindustantimes.com/world-news/king-charles-coronation-on-multi-faith-coronation-what-rishi-sunak-said-moment-of-pride-101683334485411-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683363598561_894.jpg,"
Indian-origin British Prime Minister Rishi Sunak shared a special message as the UK counts down to the coronation of King Charles III. Highlighting the central role to be played by all faiths in the religious ceremony, Rishi Sunak said, “In the Abbey where monarchs have been crowned for almost a thousand years, representatives of every faith will play a central role for the first time.”Read more: Only ‘curt nod’ between Harry- William at coronation: Why royal expert said this




Britain's Prime Minister Rishi Sunak attends an informal meeting with Commonwealth leaders at Marlborough House in London.(AFP)








The first-ever Hindu incumbent of 10 Downing Street will read from the biblical book of Colossians- following the recent tradition of UK prime ministers giving readings at State occasions. His wife will also be at the head of a procession of flag-bearers.
""The Coronation of King Charles III and Queen Camilla will be a moment of extraordinary national pride. Together with friends from across the Commonwealth and beyond, we will celebrate the enduring nature of our great monarchy: its constancy, devotion to duty, and service to others. No other country could put on such a dazzling display – the processions, the pageantry, the ceremonies, and street parties,"" Rishi Sunak said.Read more: His behaviour 'hurtful, cruel': King Charles' friend slams Prince Harry






Stressing that the coronation is a proud expression of UK's history, culture, and traditions, Rishi Sunak said, ""A vivid demonstration of the modern character of our country. And a cherished ritual through which a new era is born… And in a fitting tribute to the spirit of service that will define the Carolean Age, people across our country will help their communities with thousands of acts of kindness.
“So let's celebrate this weekend with pride in who we are and what we stand for. Let's look to the future with hope and optimism. And let's make new memories, so we can tell our grandchildren of the day we came together to sing: ‘God Save The King’”, he said. 

SHARE THIS ARTICLE ON







Get Latest World Newsalong with Latest Newsfrom Indiaat Hindustan Times.







ABOUT THE AUTHOR









Mallika Soni



When not reading, this ex-literature student can be found searching for an answer to the question, ""What is the purpose of journalism in society?""...view detail









Topics

rishi sunak
king charles coronation





",Indian-origin British Prime Minister Rishi Sunak shared a special message as the UK counts down to the coronation of King Charles III. The first-ever Hindu incumbent of 10 Downing Street will read from the biblical book of Colossians- following the recent tradition of UK prime ministers giving readings at State occasions.
2,"Man kills mother's live-in partner for thrashing her in Maha, held",2023-05-06,02:45 pm,Medhaa Gupta,https://theprint.in/india/maha-23-year-old-man-bludgeons-mothers-live-in-partner-to-death/1559155/?amp=&utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683361073063_802.jpg," Palghar, May 6 (PTI) A 23-year-old man from Maharashtra’s Palghar district has been arrested on the charge of killing his mother’s live-in partner, an official said on Saturday. The murder took place at Virendra Nagar locality in Palghar on Thursday night, the official said. According to Sachin Navadkar, the public relations officer of the Palghar district rural police, the woman, who sells vegetables, had been living with a man for the past four years. On many occasions, the woman was thrashed by her live-in partner over petty fights which upset her son, said the official. During one such fight on Thursday night, the son reached the spot and smashed a stone on the head of his mother’s live-in partner, killing him, he said. On a complaint by the woman, the son was arrested for murder under Indian Penal Code section 302, he added. PTI COR NR NRThis report is auto-generated from PTI news service. ThePrint holds no responsibility for its content.","The murder took place at Virendra Nagar locality in Palghar on Thursday night. The woman, who sells vegetables, had been living with a man for the past four years. On a complaint by the woman, the son was arrested for murder under Indian Penal Code section 302."
3,BJP supporters dressed up as Lord Hanuman at PM's rally in B'luru,2023-05-06,02:25 pm,Saurabh Pandey,https://www.hindustantimes.com/cities/bengaluru-news/karnataka-elections-bjp-supporters-lord-hanuman-costumes-in-narendra-modi-roadshow-bengaluru-101683355245378-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683360757962_629.jpg,"
Several Bharatiya Janata Party (BJP) supporters dressed up in local folk dance style costumes, as Lord Hanuman and other characters to show up at Prime Minister Narendra Modi's roadshow on Saturday in Karnataka's Bengaluru.




PM Modi has until now, covered areas of JP Nagar, RBI Layout, Jayanagar 4th block and South End circle. He is set to travel through 26 kilometres today till 1 pm. (Twitter)








In videos, BJP supporters can be seen dancing around, beating drums and waving BJP's flags before PM Modi's rally.




As Karnataka is set to vote on Wednesday, with results due to be released on May 13, the BJP is looking for a final push before the last day for campaigning, with PM Modi's mega rally in state capital Bengaluru over the weekend.






PM Modi has, until now, covered areas of JP Nagar, RBI Layout, Jayanagar 4th block and South End circle. He is set to travel through 26 kilometres today till 1 pm.
The Prime Minister began his 26-kilometre-long mega roadshow on Saturday morning with ‘Bajrangbali ki Jai’ chants and slogans like ‘Vande Mataram’ and ‘Bharat Mata ki Jai’. The PM's route was decked with flowers and decorations as supporters cheered along.
Bengaluru was painted in saffron as supporters gathered in lakhs to attend Modi's roadshow. Police were deployed in heavy numbers to maintain security protocols and visuals from the roads showed the crowd decked in saffron scarves, holding ‘arati’ plates and dancing in anticipation of the PM's arrival.
PM Modi posted a message on Twitter on Saturday morning, saying, “In a short while, I will be commencing the roadshow across parts of Bengaluru to interact with people of the city. The bond between Bengaluru and BJP is an old and strong one. This city has supported our party since the early days and we have made numerous efforts for its growth.”







SHARE THIS ARTICLE ON















ABOUT THE AUTHOR









Sanskriti Falor



Sanskriti Falor is a Senior Content Producer at the News Desk of HT Digital. Having worked in Digital Media for the past two years, she is interested in covering civic issues and global affairs....view detail









Topics

bjp
bengaluru
karnataka
pm modi
bharatiya janata party
narendra modi
karnataka election
karnataka assembly election
karnataka government
+ 7 more





","Prime Minister Narendra Modi began his 26-kilometre-long mega roadshow on Saturday morning. Karnataka is set to vote on Wednesday, with results due to be released on May 13. The BJP is looking for a final push before the last day for campaigning, with PM Modi's mega rally over the weekend."
4,People hearing wrestlers' concerns but not doing anything: Jammwal,2023-05-06,01:11 pm,Saurabh Pandey,https://www.hindustantimes.com/entertainment/bollywood/vidyut-jammwal-on-wrestlers-protest-first-they-are-citizens-of-this-country-should-be-given-required-help-101683347718900-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683356616652_734.jpg,"
Actor Vidyut Jammwal, who is gearing up for the release of his upcoming movie IB71, spoke about the ongoing wrestlers' protest in Delhi. During a media interaction on Friday, the actor said that even though people were hearing the wrestlers’ concerns, nobody was doing anything about it. Also read: Gauahar Khan tweets video of wrestler Vinesh Phogat crying




Vidyut Jammwal during the promotion of his upcoming movie IB71. (PTI)








Some of India's top wrestlers, including Sakshi Malik and Vinesh Phogat, have been on a public protest over alleged sexual harassment by Wrestling Federation India chief Brijbhushan Sharan Singh. Recently, a scuffle broke out between the protesting wrestlers and Delhi Police at Jantar Mantar in the national capital. Following this, many celebs including Gauahar Khan and Swara Bhasker tweeted in support of the wrestlers and demanded justice for them. Now, Vidyut has also weighed in on the issue.
Vidyut said in Hindi at a media interaction, “This is an important question. They are our athletes and troubled, but first, they are the citizens of the country. They should be given the required help. I think the authorities are listening to them, but what next? What are they doing about their concerns? I am an athlete and I have a feeling if they would listen to them and things will change now. They’ll do what’s right.”






On Wednesday, an argument between some wrestlers and policemen turned violent in which two wrestlers suffered injuries, as per reports. Vinesh Phogat also accused a Delhi Police personnel of using derogatory language against her. Recently, sharing a video of Vinesh and her fellow wrestlers from the protest site on Twitter, actor Gauahar Khan had urged people to 'listen to their plight'.
She had tweeted, ""If this doesn’t break your heart, then you are probably a non-living thing. These athletes have brought India pride on international levels and they are being manhandled, sad!!!!! They are fighting for justice, please listen to their plight!"" She added the hashtags 'Indian wrestlers' and 'pride' to her tweet.
Last month, actors Swara Bhasker and Sonu Sood had also tweeted in support of wrestlers protesting against Brij Bhushan Sharan Singh over sexual harassment allegations. Actor-filmmaker Pooja Bhatt also came out in support of the protesting wrestlers, and had slammed Indian Olympic Association (IOA) chief PT Usha for criticising them. Vidyut is the latest celebrity to speak on the public protest.






In his next, Vidyut plays an Indian Air Force officer, who plans to block the airspace to prevent an attack on India by Pakistan and China. IB71 is set to be released in theatres on May 12. The espionage thriller is directed by filmmaker Sankalp Reddy. The film also features Anupam Kher and Vishal Jethwa in prominent roles.

SHARE THIS ARTICLE ON







Get more updates from Bollywood, Hollywood, Musicand Web Seriesalong with Latest Entertainment Newsat Hindustan Times.











ABOUT THE AUTHOR









HT Entertainment Desk



Dedicated professionals who write about cinema and television in all their vibrancy. Expect views, reviews and news.









Topics

vidyut jammwal





","Vidyut Jammwal is gearing up for the release of his upcoming movie IB71. He spoke about the ongoing wrestlers' protest in Delhi. Vidyut said that even though people were hearing the wrestlers’ concerns, nobody was doing anything about it. Some of India's top wrestlers, including Sakshi Malik and Vinesh Phogat, have been on a public protest."
5,Wish I had that exposure: Neena on Priyanka-Alia going to Met Gala,2023-05-06,02:02 pm,Bhawana Chaudhary,https://www.hindustantimes.com/entertainment/bollywood/neena-gupta-is-envious-of-priyanka-chopra-alia-bhatt-s-met-gala-and-deepikas-oscar-appearances-i-feel-very-jealous-101683356766436-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683360297271_595.jpg,"
In a new interview, veteran actor Neena Gupta spoke about young Bollywood actors being invited to international events. The actor had mixed feelings as she saw the younger generation making in big internationally. Speaking about actors such as Priyanka Chopra, Alia Bhatt and Deepika Padukone, Neena said she wished she could have received this kind of global 'exposure' back in the day. She said she feels ‘envious’ when she sees them at such events. Also read: Deepika Padukone showers love on Alia Bhatt days after her Met Gala debut, Reddit calls it ‘damage control’




Neena Gupta said she is envious of Priyanka Chopra and Alia Bhatt’s Met Gala appearance.








While Deepika Padukone was a presenter at the 95th Academy Awards, which were held in March in Los Angeles, Priyanka Chopra and Alia Bhatt made heads turn at this year’s Met Gala, which was held in New York on May 1 (May 2 in India).
Speaking about them, Neena said in an interview with News18 that she wished she was a young actor today. ""I wish we also had the same kind of exposure. I think about it every passing minute. I feel envious every second (smiles). I wonder what if I was a young actor in this day and age! I could have achieved so much more. Having said that, I know that you can’t have everything that you wish for. I definitely do feel thankful for all the work that’s coming my way even at this age. But yes, I feel very, very jealous when I look at them wearing gowns and walking [on the global stage],"" Neena said.






The actor further said that if she ever gets invited to a global event, she will wear a look put together by designer-actor Masaba Gupta, her daughter. Neena said, ""If they call me, I’m game. I don’t have the body to wear a gown. So, I’ll wear a very beautiful saree if I’m invited to go [to an international event]. But no one’s inviting me (laughs). If an opportunity comes my way, I’ve Masaba to style me.”
Neena was last seen in Mrs Chatterjee VS Norway. The actor recently wrapped up filming for Charlie Chopra & The Mystery of Solang Valley and is now shooting for Metro In Dino. She has also done a segment in Lust Stories 2, which is directed by R Balki. It will be released on June 29.







SHARE THIS ARTICLE ON







Get more updates from Bollywood, Hollywood, Musicand Web Seriesalong with Latest Entertainment Newsat Hindustan Times.











ABOUT THE AUTHOR









HT Entertainment Desk



Dedicated professionals who write about cinema and television in all their vibrancy. Expect views, reviews and news.









Topics

neena gupta
alia bhatt
priyanka chopra
+ 1 more





","Veteran actor Neena Gupta spoke about young Bollywood actors being invited to international events. She said she wished she could have received this kind of global 'exposure' back in the day. Neena said if she ever gets invited to a global event, she will wear a look put together by designer-actor Masaba Gupta, her daughter."
6,"Death toll in Manipur violence rises to 54, 13,000 people rescued",2023-05-06,02:59 pm,Saurabh Sinha,https://theprint.in/india/54-dead-in-manipur-violence-imphal-valley-peaceful-most-shops-markets-open/1559263/?amp=&utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683364041110_589.jpg," Imphal, May 6 (PTI) The death toll in the Manipur carnage increased to 54, officials said even as unofficial sources put the figure at several scores. Life returned to a wary normalcy in Imphal Valley on Saturday as shops and markets reopened and cars started plying on the roads. Security presence which has been bolstered by flying in more army troops and rapid action force and central police forces was clearly visible at all major areas and roads. Most shops and markets in Imphal town and other places opened in the morning with people buying vegetables and other essential commodities even as security forces were deployed in large numbers. Of the 54 dead, 16 bodies were kept in the morgue of the Churachandpur district hospital while 15 bodies were in Jawaharlal Nehru Institute of Medical Sciences in Imphal East district, officials said. The Regional Institute of Medical Sciences at Lamphel in Imphal West district reported 23 dead, the official said. Meanwhile, five hill-based militants were killed and two India Reserve Battalion jawans were injured in two separate encounters in Churachandpur district on Friday night, police said. An encounter took place at Saiton in Churachandpur district between the security forces and the militants in which four militants were gunned down, the police said. Militants opened fire at security forces at Torbung forcing them to return the fire. In the exchange of fire one militant was killed and two IRB jawans were injured, the police said. A Defence spokesperson said a total of 13,000 people were rescued and shifted to safe shelters, some in army camps as the army brought Churachandpur, Moreh, Kakching and Kangpokpi districts under its “firm control”. “In the past 12 hours, Imphal East and West districts witnessed sporadic incidents of arson and attempts by inimical elements to establish blockades. However, the situation was controlled by a firm and synergised response,” the Defence official said on Friday night. Details of the incidents, however, were not available. Multiple sources said the fighting between communities had left several scores of people dead and nearly a hundred injured. However, the police were unwilling to confirm this. The bodies were brought from districts such as Imphal East and West, Churachandpur and Bishenpur. Many people with bullet injuries are also being treated at RIMS and Jawaharlal Nehru Institute of Medical Sciences. “Prompt response by Security Forces led to rescuing of civilians of all communities from various minority pockets of areas affected by violence. As a result, Churachandpur, Kangpokpi, Moreh and Kakching are now under firm control with no major violence reported since yesterday night,” the PRO said. Nearly 10,000 soldiers from the Army and the Assam Rifles have been deployed in the state which was rocked by clashes since Wednesday between the Meitei community, which mainly live in Imphal Valley, and Naga and Kuki tribals who are inhabitants of the hill districts. “Total of approximately 13,000 civilians have been rescued and are currently staying in various ad-hoc boarding facilities specifically created for the purpose within Company Operating Bases & Military Garrisons,” the defence official said. Union Home Minister Amit Shah reviewed the situation in Manipur with Chief Minister N Biren Singh and top officials on Friday, even as the Centre dispatched additional security forces and anti-riot vehicles to maintain peace there. Around 1,000 more central paramilitary personnel with anti-riot vehicles reached Manipur on Friday, sources said. Trains to Manipur have been cancelled with immediate effect on Friday due to the prevailing in the state, a Northeast Frontier Railway (NFR) spokesperson said. Violence first erupted in Torbung area in Churachandpur district during the ‘Tribal Solidarity March’ organised by the All Tribal Student Union Manipur (ATSUM) on Wednesday to protest the demand of Meiteis for Scheduled Tribe (ST) status. The march was organised by tribals — including Nagas and Kukis — after the Manipur High Court asked the state government last month to send a recommendation to the Centre within four weeks on the demand for ST status by the Metei community. During the march in Torbung, an armed mob allegedly attacked people of the Meitei community, leading to retaliatory attacks in the valley districts, which escalated the violence throughout the state, police said. Meiteis account for about 53 per cent of the population and live mostly in the Imphal Valley. Tribals, who include Nagas and Kukis, account for another 40 per cent of the population and live mostly in the hill districts which surround the Valley. PTI COR RGThis report is auto-generated from PTI news service. ThePrint holds no responsibility for its content.","The death toll in the Manipur carnage increased to 54, officials said even as unofficial sources put the figure at several scores. Life returned to a wary normalcy in Imphal Valley on Saturday as shops and markets reopened and cars started plying on the roads. Security presence which has been bolstered by flying in more army troops and rapid action force and central police forces was clearly visible."
7,"Diljit appreciated by whole India for Coachella, but we didn't praise Ali Sethi: Pak actor",2023-05-06,12:53 pm,Arshiya Chopra,https://www.hindustantimes.com/entertainment/music/diljit-dosanjh-appreciated-by-whole-india-for-coachella-pakistani-actor-says-his-country-didnt-do-that-for-ali-sethi-101683351554706-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683356790148_762.jpg,"
Recently, Pakistani actor Yasir Hussain spoke about Diljit Dosanjh's Coachella performance last month and India's response to his historic feat. Yasir said that in comparison, the way Pakistan reacted to Pakistani singer Ali Sethi singing at the famous music festival was disappointing. The actor wondered if the people of his country had become 'too cool' to praise their stars, who were putting the country on the global map. Also read: Diljit Dosanjh rocks Coachella with Punjabi songs, fans call it a 'proud, historic moment'. Watch videos




Diljit Dosanjh and Ali Sethi at Coachella 2023.








Speaking about the lack of attention given to Ali Sethi, who is famous for his song Pasoori, in Pakistan, actor Yasir Hussain talked about India’s appreciation of artist Diljit Dosanjh. Taking to Instagram Stories, Yasir shared a news article about Ali’s Coachella gig and wrote, “Diljit too went to Coachella and the whole of India was appreciating him. This is also a big achievement for a Pakistani artist. But, as usual, we didn’t care much for it. Hum zara zyada cool nahi hogaye (Are we not becoming too cool now)?""



Pakistani actor Yasir Hussain spoke about Diljit Dosanjh and Ali Sethi's Coachella performance.








The Pakistani singer has been making waves since his song Pasoori was released, and it also became the most searched song on Google in 2022. At Coachella 2023, fans were seen vibing to Ali's songs as he performed during the second weekend of Coachella, one of the largest music festivals in the world, singing to a packed tent of festival-goers.
Apart from his music, Ali has also been pushing boundaries, when it comes to men’s fashion. In fact, his desi Coachella look grabbed attention on social media as some questioned his clothes for not being 'manly' enough. Last month, sharing photos of Ali wearing a white angarkha at the festival – a traditional robe with long sleeves worn – a Twitter user had asked, ""What the f*** is he even wearing though?""






Meanwhile, Diljit Dosanjh also performed for a packed audience at Coachella last month, becoming the first Punjabi artist to perform at the fest. Pictures and videos from the festival showed him making everyone groove to his music, even Diplo. He had performed Patiala Peg and Lemonade, among other songs, wearing an all-black outfit – a black turban, black sunglasses, and a pair of gloves. Fans of the singer could not be more proud of him and took to social media to praise his performance.

SHARE THIS ARTICLE ON







Get more updates from Bollywood, Hollywood, Musicand Web Seriesalong with Latest Entertainment Newsat Hindustan Times.











ABOUT THE AUTHOR









HT Entertainment Desk



Dedicated professionals who write about cinema and television in all their vibrancy. Expect views, reviews and news.









Topics

diljit dosanjh





","Pakistani actor Yasir Hussain spoke about Diljit Dosanjh and Ali Sethi's Coachella performance. He wondered if the people of his country had become 'too cool' to praise their stars. The Pakistani singer has been making waves since his song Pasoori was released, and it also became the most searched song on Google."
8,"WWE star Sara Lee died by suicide at 30, confirms autopsy report",2023-05-06,11:54 am,Anmol Sharma,https://www.hindustantimes.com/sports/wwe-news/former-wwe-star-sara-lee-comited-suicide-autopsy-report-confirms-she-had-bruises-on-her-body-101683284906292-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683352125316_568.jpg,"
A new update has come out regarding the death of former WWE wrestler Sara Lee in October, last year. As per TMZ Sports, new autopsy report of Sara reveals that she died by suicide.




Sara Lee(Twitter)








Citing the Bexar County Medical Examiner's Office documents, TMZ Sports have reported that officials said Lee ingested a lethal combination of alcohol and pills. The officials added that the former wrestler had left 'letters of intent at the scene' before her death.
ALSO READ| WWE announces appearance of mega star on Friday night SmackDown
As per the officials, Sara had bruises and abrasions on her head and body at the time of her death and they suspected that the injuries were a result of a fall or falls while being intoxicated.
Sara's death at the young age of 30 years, had shocked the wrestling world. Official Twitter account of WWE had paid a tribute to her and posted ""WWE is saddened to learn of the passing of Sara Lee. As a former ""Tough Enough"" winner, Lee served as an inspiration to many in the sports-entertainment world. WWE offers its heartfelt condolences to her family, friends and fans.""










Sara was the winner of WWE's Tough Enough event in 2015 and had received a one-year contract. She left WWE in 2016 and started participating in independent circuit later. In 2017, she got married to wrestler Wesley Blake and the couple had three children together.






After her tragic death, husband Blake took to Instagram and wrote “I loved you from the first moment I saw you. I would always say that you were an angel walking on this earth. Beautiful, compassionate, strong and so loving. An angel that blessed me with 3 of the most beautiful children I could imagine. But you were soo much more than just mom”.










“You were a motivator, a best friend, a sister, a daughter, an aunt, the back bone of our family, and (my favorite), my wife. I really don’t know what to say in these uncertain times. I just know that death can’t take away the memories we madeI can’t promise that I will stop grieving but I know now, that you’re free.I can’t thank you enough for giving me the best years of my life so far. I LOVE YOU SARA,” posted Blake.

SHARE THIS ARTICLE ON










Topics

wwe





",New autopsy report of Sara Lee reveals that she died by suicide. Officials said Lee ingested a lethal combination of alcohol and pills. The officials added that the former wrestler had left 'letters of intent at the scene' Sara had bruises and abrasions on her head and body at the time of her death.
9,31-year-old engineer jumps to death from Google's office in US,2023-05-06,12:05 pm,Hiral Goyal,https://www.hindustantimes.com/world-news/google-engineer-commits-suicide-jumps-to-his-death-from-office-building-in-nyc-101683294356761-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683354573426_619.jpg,"
Tragedy struck the Manhattan headquarters of Google when a senior software engineer jumped to his death from the 14th floor of the search giant's headquarters in Chelsea late on Thursday. The man's identity has not been revealed by the authorities, as they are yet to inform his family about the incident.




In this file photo, a woman walks past Google offices in New York.(AP File photo)








According to police sources to New York Post, multiple 911 calls were made after an unconscious person was found lying on the ground near a building on West 15th Street, opposite the 15-story Art Deco building. The police rushed to the spot and found the man unconscious. He was immediately taken to Bellevue Hospital, where he was pronounced dead.
Reports suggest, investigators found handprints on the ledge of a 14th-floor open-air terrace, leading them to believe that the man had jumped from there. However, they have not found any suicide note or video of the incident.
This incident comes just a few months after another Google employee, Jacob Pratt, was found dead in an apparent suicide. Pratt, who was 33 years old, was also a software engineer working at the Manhattan headquarters. He was found hanging in an apartment on West 26th Street and 6th Avenue in Chelsea on February 16th.






Google has not issued any statement regarding the incident as of now. However, the incident has once again brought to light the issue of mental health in the tech industry and the need to address it.Discussing suicides can be triggering for some. However, suicides are preventable. A few major suicide prevention helpline numbers in India are 011-23389090 from Sumaitri (Delhi-based) and 044-24640050 from Sneha Foundation (Chennai-based).

SHARE THIS ARTICLE ON







Get Latest World Newsalong with Latest Newsfrom Indiaat Hindustan Times.







ABOUT THE AUTHOR









HT News Desk



Follow the latest breaking news and developments from India and around the world with Hindustan Times' newsdesk. From politics and policies to the economy and the environment, from local issues to national events and global affairs, we've got you covered....view detail









Topics

google
crime





","The man's identity has not been revealed by the authorities, as they are yet to inform his family about the incident. Investigators found handprints on the ledge of a 14th-floor open-air terrace, leading them to believe that the man had jumped from there. The incident has once again brought to light the issue of mental health in the tech industry."
