Unnamed: 0,headlines,date,time,author,read_more,image_url,ctext,summary
0,Will energise NCP workers: Ajit as Sharad takes back resignation,2023-05-06,09:42 am,Medhaa Gupta,https://www.timesnownews.com/india/after-this-decision-ajit-pawar-breaks-silence-on-sharad-pawar-taking-resignation-back-as-ncp-chief-article-100019784/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683344694326_103.jpg,Mumbai:SeniorNationalist Congress Party(NCP) leaderAjit Pawarhas finally broken silence after uncle and party StalwatSharad Pawartook his resignation back on Friday under pressure from cadres and party workers.,Ajit Pawarhas finally broken silence after uncle and party StalwatSharad Pawartook his resignation back on Friday under pressure from cadres and party workers. NCP leader Ajit Pawar has broken his silence after his uncle Stal Watar took back his resignation on Friday.
1,What friendship with PFI? Sarma on Congress' Bajrang Dal promise,2023-05-06,08:50 am,Ria Kapoor,https://www.hindustantimes.com/india-news/cong-wants-to-ban-kerala-story-but-not-bbc-film-on-modi-himanta-biswa-sarma-in-karnataka-101683340921806-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683342045981_433.jpg,"
Amid the row over Adah Sharma's The Kerala Story for its claims on the indoctrination of women in ISIS in Kerala, Assam chief minister Himanta Biswa Sarma made it an election issue in Karnataka. Addressing a rally in the poll-bound state on Friday, Himanta referred to the Congress manifesto of banning the Bajrang Dal if voted to power and said, ""Does Bajrang Dal do any bomb blast? No. How will you ban Bajrang Dal? What is your friendship with the PFI that you are acting like their spokesperson?""




Assam CM Himanta Biswa Sarma campaigned in Karnataka on Friday. (Pitamber Newar)








""There is a new film The Kerala Story which reveals many things. When the BBC made a film on Modiji making false claims, the Congress was in favour of it. But today the same Congress wants a ban on The Kerala Story,"" Himanta said. The BBC documentary on Gujarat riots India: The Modi Question was at the centre of a controversy early this year after it was blocked from airing in India. 
""Congress can't give any guarantee as Rahul Gandhi has no guarantee,"" Himanta said.
Earlier on Friday, PM Modi referred to The Kerala Story as he said in Karnataka: ""Such a beautiful state of the country, where people are hardworking and talented. The ‘Kerala Story’ film brings out terror conspiracies happening in that state. It is unfortunate that Congress can be seen standing with this terror trend that is seeking to ruin the country. Congress is even indulging in backdoor political bargaining with people having terror inclinations. People of Karnataka should be cautious about Congress.""






The Kerala Story released on Friday, sparking off a controversy as special screenings are being organised in many areas by BJP workers. Kerala Chief minister Pinarayi Vijayan slammed the movie before its release and called it Sangh propaganda while the Congress too spoke against the movie for its ""exaggeration"".
The Kerala high court on Friday refused to stay the release of the movie and said the trailer has nothing offensive. The disclaimer says that the film is a dramatised version of events, the high court noted.Row over teaser claim of '32,000 women'
The teaser of the Sudipto Sen movie claims over 32,000 women from Kerala were recruited by the IS. Facing flak for the number, the producer has agreed to remove the teaser will be removed from social media.







SHARE THIS ARTICLE ON







Get Latest India Newsalong with Latest Newsand Top Headlinesfrom India and around the world. Also follow Karnataka Election 2023 updates on Hindustan Times







ABOUT THE AUTHOR









Poulomi Ghosh



Poulomi Ghosh is a journalist with Hindustan Times, New Delhi.









Topics

himanta biswa sarma
karnataka election





",Assam chief minister Himanta Biswa Sarma made it an election issue in Karnataka. He referred to the Congress manifesto of banning the Bajrang Dal if voted to power. The Kerala Story released on Friday sparking off a controversy as special screenings are being organised in many areas by BJP workers.
2,"If leaders get free electricity, why not common people: Punjab CM",2023-05-06,09:59 am,Medhaa Gupta,https://theprint.in/india/why-cant-common-people-have-free-power-healthcare-punjab-cm/1558581/?amp=&utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683345603873_372.jpg,"Ludhiana, May 5 (PTI) Punjab Chief Minister Bhagwant Mann on Friday dismissed the criticism that the AAP government was doling out freebies, asking why can’t common people get free power and healthcare when similar benefits are extended to elected representatives.Launching 80 more Aam Aadmi Clinics with his Delhi counterpart Arvind Kejriwal, he said these health facilities have helped the government in preparing a database of diseases prevalent in Punjab and combating them effectively. More than 25.60 lakh people have benefited from these clinics, he added.Mann said opponents target AAP for giving free power, free treatment and free education to people.“We say when leaders get free power, when exchequer bears all their medical expenses, why cannot it be done for the common people too,” he said.With the launch of the new clinics, the total number of these health facilities in Punjab has reached 580.Speaking at the event, Kejriwal said an “honest government” in Punjab is making opponents jittery.“We have been in power for just one year in Punjab but work is being done at a great pace,” he said.“Punjab is making quick progress. For 75 years, people only saw loot and for the first time the state is touching heights of development,” the AAP national convener said, alleging previous governments only signed MoUs during investments summits but no investments came and no jobs were generated.Mann, however, took pains and brought Rs 40,000 crore worth investments to Punjab, Kejriwal said.The Mann government has already given 29,000 government jobs to people, he claimed.Kejriwal said like Delhi, parents in Punjab too will remove their children from private schools and send them to government institutions.Mentioning the arrest of former Punjab minister Sunder Sham Arora in October last year, Mann said his government is going after those who have “looted” Punjab.“We arrested the former industry minister. When his house was searched, sofa sets worth Rs 10 lakh, bath fittings worth Rs 15 lakh, costly fans, other expensive items were found,” he said.The Punjab Vigilance Bureau arrested Arora for allegedly offering a bribe of Rs 50 lakh to its officer to settle cases against him.Taking on former chief minister Amarinder Singh, Mann said the BJP leader says Bhagwant Mann lacks experience.“I want to tell Amarinder Singh that people were fed up with experienced leaders like you. When he became CM, he remained inaccessible to people and what people later did was to confine him in his palace and oust him (from power),” said Mann. PTI SUN VSD ABH ABHThis report is auto-generated from PTI news service. ThePrint holds no responsibility for its content.",Punjab Chief Minister Bhagwant Mann launches 80 more Aam Aadmi Clinics with Delhi counterpart Arvind Kejriwal. Mann asks why can’t common people get free power and healthcare when similar benefits are extended to elected representatives. Kejriwal says an “honest government” in Punjab is making opponents jittery.
3,Everyone can't be present: Pawar on Ajit skipping press meet,2023-05-06,10:13 am,Shalini Ojha,https://www.hindustantimes.com/india-news/sharad-pawar-ncp-chief-nephew-ajit-pawar-absence-press-conference-101683291008258-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683346815737_326.jpg,"
Nationalist Congress Party chief Sharad Pawar on Tuesday announced his decision to withdraw his resignation and continue as party president. Addressing a presser at Mumbai's YB Chavan Centre, the 82-year-old leader said he is respecting the demand of the party cadre and the decision taken by the panel appointed him which rejected his resignation.




NCP chief Sharad Pawar addresses presser at the YB Chavan Centre in Mumbai.(HT Photo/Anshuman Poyrekar)








However, questions were raised about the absence of nephew Ajit Pawar from the press meet. When asked about this, Pawar Sr. replied, ""Everyone can't be present in one press conference. Some of the people are here and some others are not. But this morning, senior leaders of the party, took a decision unanimously and made me aware of it"".
“Everyone expressed their sentiments through that decision. So, raising a question as to who is present here and who isn't or looking for meaning into this, is not correct”, he added.“Others are here. Committee took this decision and after their decision, I took my decision back. All are united and discussed this. Senior leaders are there in the committee”, the veteran leader said.










On the day Pawar had announced his resignation, the party cadre had urged him to take it back. But nephew Ajit was the one who had supported the decision.“Pawar Saheb himself had said about the necessity of change in guard a few days back. We should see his decision in the light of his age and health also. Everyone has to take a decision according to time, Pawar Saheb has taken a decision and he won't take it back”, he had said.Ajit Pawar, who had staged an unsuccessful coup against his uncle in 2019 by joining the short-lived government of Devendra Fadnavis, is back in focus. There had been reports of the ambitious nephew holding meeting MLAs supporting him but Pawar managed to prevail over the situation.







SHARE THIS ARTICLE ON







Get Latest India Newsalong with Latest Newsand Top Headlinesfrom India and around the world. Also follow Karnataka Election 2023 updates on Hindustan Times







ABOUT THE AUTHOR









Aryan Prakash



Multimedia journalist with over nine years of experience in print, television and digital media. Books, politics and cinema are an inseparable part of life....view detail









Topics

sharad pawar
ajit pawar





",Nationalist Congress Party chief Sharad Pawar on Tuesday announced his decision to withdraw his resignation and continue as party president. He said he is respecting the demand of the party cadre and the decision taken by the panel appointed him which rejected his resignation. Questions were raised about the absence of nephew Ajit Pawar from the press meet.
4,Master of distortion is arriving: Jairam as PM Modi reaches B'luru,2023-05-06,04:59 pm,Swati Dubey,https://www.hindustantimes.com/india-news/karnataka-election-pm-modi-roadshow-jairam-ramesh-calls-narendra-modi-master-of-distortion-101683353697397-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683369806926_425.jpg,"
Congress comms-in-charge Jairam Ramesh ripped into prime minister Narendra Modi Saturday as the latter led a massive roadshow in Bengaluru in poll-bound Karnataka. The opposition leader labelled Modi 'the master of distortion' and his jab 'abuse' No. 92??' - a sarcastic reference to the ruling Bharatiya Janata Party's claims the prime minister is being 'targeted' by the Congress in a shrill and high-pitched battle for the control of the state. Ramesh also stopped short of accusing the prime minister of 'hate speech', declaring Modi's remarks at a rally scheduled for later today would only 'inflame prejudice and bigotry'.




Congress General Secretary in-charge of Communications Jairam Ramesh addresses a press conference, at AICC HQ, in New Delhi. (ANI Photo/Sanjay Sharma)








""The Master Of Distortion and Incitement (‘Abuse’ No. 92??) is arriving in Bengaluru today. We already know what he'll say to inflame prejudice & bigotry. He will of course stay absolutely silent on the real issues..."" he tweeted before.




The tweet highlighted four issues the Congress has flagged in the campaign so far - allegations Karnataka ministers and government officials command a 40 per cent 'commission' to grant projects, the price rise, unemployment and the poor condition of Bengaluru's infrastructure; the last is a perennial problem.






LIVE UPDATES | PM Modi begins grand 26-km roadshow in Bengaluru 
""This time the despair is so high that his (Modi's) #40km40percent roadshow over 2 days is locking up an entire city, creating chaos and uncertainty for students writing crucial exams, and felling a number of trees…"" 
""Have you ever seen a PM this desperate?"" Jairam Ramesh asked.
The BJP and the Congress have grabbed most of the headlines in the run up to Wednesday's election, with insults and allegations thrown by both sides.
This morning the Congress said it had audio evidence of a 'plot' to assassinate party chief Mallikarjun Kharge and his family. ""Plotting to assassinate the president of Congress Shri Mallikarjun Kharge, his wife and his children..."" Rajya Sabha MP Randeep Surjewala tweeted with the audio clip.






READ | 'Plotting to assassinate' Kharge: Congress' slams BJP's 'blue-eyed boy'
The Congress has accused a BJP MP - Manikanta Rathod from the Chitapur constituency in Karnataka's Kalaburagi district - of orchestrating the plot.
Hindustan Times cannot independently verify the authenticity of the audio clip.
The BJP has yet to respond to the Congress' 'assassinate Kharge' claims.
READ | Who is Manikanta Rathod, accused of conspiring to kill Kharge?
The two sides also spat venom at each other over Kharge's comment about poisonous snakes and prime minister Modi; the Congress chief appeared to call Modi a snake in Kolar but later said he was referring to the BJP's ideology. Modi hit back claiming the Congress hates him because he is anti-corruption.






READ | 'I am a snake, but…': Modi responds to Kharge's jab in Karnataka's Kolar
The BJP then launched its own 'poison' barb with a Karnataka BJP MLA Basanagouda Yatnal calling ex-Congress chief Sonia Gandhi ‘vishe kanya’.
READ | 'Poisonous woman...': K'taka BJP MLA attacks Sonia Gandhi
The exchange of insults prompted the Election Commission to 'warn' both sides against the use of 'inappropriate vocabulary and language'.
Karnataka will vote for a new government in a single phase on May 10, with results due three days later. The election - and those in the key states of Congress-ruled Rajasthan and Chhattisgarh and chief minister K Chandrashekhar Rao's Telangana - are seen as major tests of the BJP's bid next year to win a third consecutive Lok Sabha election.With input from agencies







SHARE THIS ARTICLE ON







Get Latest India Newsalong with Latest Newsand Top Headlinesfrom India and around the world. Also follow Karnataka Election 2023 updates on Hindustan Times







ABOUT THE AUTHOR









HT News Desk



Follow the latest breaking news and developments from India and around the world with Hindustan Times' newsdesk. From politics and policies to the economy and the environment, from local issues to national events and global affairs, we've got you covered....view detail









Topics

jairam ramesh
pm modi
karnataka
karnataka assembly election
+ 2 more





","Congress comms-in-charge Jairam Ramesh ripped into prime minister Narendra Modi Saturday as the latter led a massive roadshow in Bengaluru in poll-bound Karnataka. The opposition leader labelled Modi 'the master of distortion' and his jab 'abuse' No. 92??' The BJP and the Congress have grabbed most of the headlines in the run up to Wednesday's election, with insults and allegations thrown by both sides. The Election Commission has 'warned' both sides against the use of 'inappropriate vocabulary and language'"
5,Shame on such 'anti-national mentality': Khera on Nadda's remark,2023-05-06,10:29 am,Saurabh Pandey,https://www.hindustantimes.com/india-news/congress-slams-bjp-nadda-for-india-used-to-surrender-remark-why-such-hatred-101683339037122-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683347668935_700.jpg,"
The Congress on Saturday hit out at Bharatiya Janata Party (BJP) president Jagat Pratap Nadda for criticising India of the past, asking “why such hatred towards the country.” Addressing an election rally in poll-bound Karnataka's Kuppal district on Friday, Nadda said India was earlier known for corruption but now the country's identity has changed with Prime Minister Narendra Modi's rule.




BJP president Jagat Pratap Nadda and Congress media department head Pawan Khera.(PTI)








""How was India 9 years ago? Earlier, India was known for corruption. Earlier, India used to surrender and was indecisive. Now under PM Modi, G20 and SCO meetings are being held in India, Prime Ministers, ministers, and foreign ministers from all over the world are coming. PM Modi has created this identity of India"", he said.
Reacting to Nadda's remarks, Congress media department head Pawan Khera said, “Why such hatred towards the country?”
“There must be a reason that our elders had always kept you out of power,” the wrote on Twitter. “Shame on such an anti-national mentality.”










During his address, Nadda attacked the Congress's campaign around anti-corruption saying half of the party leaders are in jail while the other half are on bail and they are talking about corruption.
""Rahul Gandhi is on bail, Sonia Gandhi is on bail and DK Shivakumar is on bail. Half on bail, half in jail and they talk about corruption"", Nadda said.
Nadda further said, “You (Congress) withdrew cases against PFI, you demand a ban on Bajrang Dal, you are involved in corruption, and you put a break in development work. That's why remember this if you vote for Congress, then you are voting for PFI's return.”
Karnataka will go to polls on May 10 and the counting of votes will take place on May 13.







SHARE THIS ARTICLE ON







Get Latest India Newsalong with Latest Newsand Top Headlinesfrom India and around the world. Also follow Karnataka Election 2023 updates on Hindustan Times







ABOUT THE AUTHOR









HT News Desk



Follow the latest breaking news and developments from India and around the world with Hindustan Times' newsdesk. From politics and policies to the economy and the environment, from local issues to national events and global affairs, we've got you covered....view detail









Topics

congress
jp nadda
pawan khera
+ 1 more





","BJP president Jagat Pratap Nadda said India was earlier known for corruption but now the country's identity has changed with Prime Minister Narendra Modi's rule. Congress media department head Pawan Khera said, “Why such hatred towards the country?”"
6,People hearing wrestlers' concerns but not doing anything: Jammwal,2023-05-06,01:11 pm,Saurabh Pandey,https://www.hindustantimes.com/entertainment/bollywood/vidyut-jammwal-on-wrestlers-protest-first-they-are-citizens-of-this-country-should-be-given-required-help-101683347718900-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683356616652_734.jpg,"
Actor Vidyut Jammwal, who is gearing up for the release of his upcoming movie IB71, spoke about the ongoing wrestlers' protest in Delhi. During a media interaction on Friday, the actor said that even though people were hearing the wrestlers’ concerns, nobody was doing anything about it. Also read: Gauahar Khan tweets video of wrestler Vinesh Phogat crying




Vidyut Jammwal during the promotion of his upcoming movie IB71. (PTI)








Some of India's top wrestlers, including Sakshi Malik and Vinesh Phogat, have been on a public protest over alleged sexual harassment by Wrestling Federation India chief Brijbhushan Sharan Singh. Recently, a scuffle broke out between the protesting wrestlers and Delhi Police at Jantar Mantar in the national capital. Following this, many celebs including Gauahar Khan and Swara Bhasker tweeted in support of the wrestlers and demanded justice for them. Now, Vidyut has also weighed in on the issue.
Vidyut said in Hindi at a media interaction, “This is an important question. They are our athletes and troubled, but first, they are the citizens of the country. They should be given the required help. I think the authorities are listening to them, but what next? What are they doing about their concerns? I am an athlete and I have a feeling if they would listen to them and things will change now. They’ll do what’s right.”






On Wednesday, an argument between some wrestlers and policemen turned violent in which two wrestlers suffered injuries, as per reports. Vinesh Phogat also accused a Delhi Police personnel of using derogatory language against her. Recently, sharing a video of Vinesh and her fellow wrestlers from the protest site on Twitter, actor Gauahar Khan had urged people to 'listen to their plight'.
She had tweeted, ""If this doesn’t break your heart, then you are probably a non-living thing. These athletes have brought India pride on international levels and they are being manhandled, sad!!!!! They are fighting for justice, please listen to their plight!"" She added the hashtags 'Indian wrestlers' and 'pride' to her tweet.
Last month, actors Swara Bhasker and Sonu Sood had also tweeted in support of wrestlers protesting against Brij Bhushan Sharan Singh over sexual harassment allegations. Actor-filmmaker Pooja Bhatt also came out in support of the protesting wrestlers, and had slammed Indian Olympic Association (IOA) chief PT Usha for criticising them. Vidyut is the latest celebrity to speak on the public protest.






In his next, Vidyut plays an Indian Air Force officer, who plans to block the airspace to prevent an attack on India by Pakistan and China. IB71 is set to be released in theatres on May 12. The espionage thriller is directed by filmmaker Sankalp Reddy. The film also features Anupam Kher and Vishal Jethwa in prominent roles.

SHARE THIS ARTICLE ON







Get more updates from Bollywood, Hollywood, Musicand Web Seriesalong with Latest Entertainment Newsat Hindustan Times.











ABOUT THE AUTHOR









HT Entertainment Desk



Dedicated professionals who write about cinema and television in all their vibrancy. Expect views, reviews and news.









Topics

vidyut jammwal





","Vidyut Jammwal is gearing up for the release of his upcoming movie IB71. He spoke about the ongoing wrestlers' protest in Delhi. Vidyut said that even though people were hearing the wrestlers’ concerns, nobody was doing anything about it. Some of India's top wrestlers, including Sakshi Malik and Vinesh Phogat, have been on a public protest."
7,BJP supporters dressed up as Lord Hanuman at PM's rally in B'luru,2023-05-06,02:25 pm,Saurabh Pandey,https://www.hindustantimes.com/cities/bengaluru-news/karnataka-elections-bjp-supporters-lord-hanuman-costumes-in-narendra-modi-roadshow-bengaluru-101683355245378-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683360757962_629.jpg,"
Several Bharatiya Janata Party (BJP) supporters dressed up in local folk dance style costumes, as Lord Hanuman and other characters to show up at Prime Minister Narendra Modi's roadshow on Saturday in Karnataka's Bengaluru.




PM Modi has until now, covered areas of JP Nagar, RBI Layout, Jayanagar 4th block and South End circle. He is set to travel through 26 kilometres today till 1 pm. (Twitter)








In videos, BJP supporters can be seen dancing around, beating drums and waving BJP's flags before PM Modi's rally.




As Karnataka is set to vote on Wednesday, with results due to be released on May 13, the BJP is looking for a final push before the last day for campaigning, with PM Modi's mega rally in state capital Bengaluru over the weekend.






PM Modi has, until now, covered areas of JP Nagar, RBI Layout, Jayanagar 4th block and South End circle. He is set to travel through 26 kilometres today till 1 pm.
The Prime Minister began his 26-kilometre-long mega roadshow on Saturday morning with ‘Bajrangbali ki Jai’ chants and slogans like ‘Vande Mataram’ and ‘Bharat Mata ki Jai’. The PM's route was decked with flowers and decorations as supporters cheered along.
Bengaluru was painted in saffron as supporters gathered in lakhs to attend Modi's roadshow. Police were deployed in heavy numbers to maintain security protocols and visuals from the roads showed the crowd decked in saffron scarves, holding ‘arati’ plates and dancing in anticipation of the PM's arrival.
PM Modi posted a message on Twitter on Saturday morning, saying, “In a short while, I will be commencing the roadshow across parts of Bengaluru to interact with people of the city. The bond between Bengaluru and BJP is an old and strong one. This city has supported our party since the early days and we have made numerous efforts for its growth.”







SHARE THIS ARTICLE ON















ABOUT THE AUTHOR









Sanskriti Falor



Sanskriti Falor is a Senior Content Producer at the News Desk of HT Digital. Having worked in Digital Media for the past two years, she is interested in covering civic issues and global affairs....view detail









Topics

bjp
bengaluru
karnataka
pm modi
bharatiya janata party
narendra modi
karnataka election
karnataka assembly election
karnataka government
+ 7 more





","Prime Minister Narendra Modi began his 26-kilometre-long mega roadshow on Saturday morning. Karnataka is set to vote on Wednesday, with results due to be released on May 13. The BJP is looking for a final push before the last day for campaigning, with PM Modi's mega rally over the weekend."
8,Will soon bring Assamese students back from Manipur: CM Sarma,2023-05-06,03:00 pm,Shalini Ojha,https://www.aninews.in/news/national/general-news/assam-govt-in-touch-with-assamese-students-in-manipur-after-violence-cm-himanta-biswa-sarma20230505232926/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683361822143_615.jpg,"Dispur (Assam) [India], May 5 (ANI): Following clashes in parts of Manipur, Assam Chief Minister Himanta Biswa Sarma on Friday said he and his government are in constant touch with their students and will bring them back as soon they will get a chance.CM also urged the families not to worry about their safety. Taking to his personal Twitter handle CM wrote, ""We are in constant touch with our students who are currently in Manipur. We will bring them back as soon as the first available opportunity arises. I request all family members not to worry about their safety, as we are taking all possible measures to ensure their well-being.""Earlier in a tweet Sarma informed that several families affected by the recent incidents have sought refuge in Assam.""Several families affected by the recent incidents in Manipur have sought refuge in Assam. I have requested the District Administration of Cachar to take care of these families. I am also in constant communication with the HCM @NBirenSingh and have pledged the full support of the Assam Government during this hour of crisis,"" Assam CM has tweeted.Violence broke out on May 3 during the 'Tribal Solidarity March' called by the All Tribal Student Union Manipur (ATSUM) in the Torbung area of Churachandpur district to protest the demand by Meiteis, who dominate the Imphal Valley, for Scheduled Tribe (ST) status.Earlier, the Northeast Frontier Railways cancelled all Manipur-bound trains. ""No trains are entering Manipur till the situation is improved. The decision has been taken after the Manipur government advised to stop train movement,"" Sabyasachi De, Chief Public Relations Officer (CPRO) of Northeast Frontier Railway told ANI.Meanwhile, the Indian Railways have also cancelled the operations of four trains for May 5 and May 6 following violence in the State.""Manipur state authorities have advised to stop train operations in Manipur due to the prevailing Law and Order situation there. Four trains have been cancelled. The decision was taken initially only for May 5 and 6,"" the railways said.Union Home Minister Amit Shah on Thursday held two meetings over video-conferencing and spoke with the Chief ministers of Manipur and neighbouring states over the situation in the northeastern state. (ANI)",Assam Chief Minister Himanta Biswa Sarma said he and his government are in constant touch with their students and will bring them back as soon they will get a chance.CM also urged the families not to worry about their safety. Indian Railways have also cancelled the operations of four trains for May 5 and May 6 following violence in the State.
9,NCP worker tries to set himself ablaze over Pawar's resignation,2023-05-05,01:31 pm,Nakul Ahuja,https://www.hindustantimes.com/india-news/ncp-meeting-live-sharad-pawar-ajit-pawar-supriya-sule-successor-maharashtra-nationalist-congress-party-101683261454939-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/5_fri/img_1683272413692_463.jpg,"
A committee of the Nationalist Congress Party (NCP) leaders picked by Sharad Pawar to pick his successor met at 11 am today at the party headquarters. The panel rejected Pawar's resignation and met at his house to convince him to continue as chief of the party.The veteran leader had named the members of the panel after announcing his decision to step down as the NCP chief on Tuesday. The committee comprises senior members like Supriya Sule, Ajit Pawar, Praful Patel, Jayant Patil, Chhagan Bhujbal, Dilip Walse Patil, Anil Deshmukh, Rajesh Tope and others.Pawar's decision to step down had sent shockwaves among the party workers and cadre, who urged him to take back his decision. After pressure from party cadre mounted, the 82-year-old leader said he would take two-three days to rethink his decision.

Follow all the updates here:


Fri, 05 May 2023 03:47 PM

‘Sharad Pawar’s leadership necessary for opp unity': Sanjay Raut

""Uddhav Thackeray & other opposition parties have conveyed their feelings to Sharad Pawar that his leadership is necessary for opposition unity & the country considering the current political environment in country,"" Uddhav Thackeray faction leader Sanjay Raut said. 




Fri, 05 May 2023 02:27 PM

NCP Panel committee members meet Sharad Pawar at the latter's residence in Mumbai





NCP Panel committee members met Sharad Pawar at the latter's residence in Mumbai after the committee decided to reject Pawar resignation and request him to continue as party chief. 




Fri, 05 May 2023 01:38 PM

Sharad Pawar has sought some time to consider NCP committee resolution: Praful Patel.

NCP chief Sharad Pawar has sought some time to consider party committee resolution, said party leader Praful Patel.(PTI)








 
Fri, 05 May 2023 12:58 PM

NCP leader Ajit Pawar reaches Sharad Pawar's residence





NCP leader Ajit Pawar reached party chief Sharad Pawar's residence after the party's committee passed a proposal and rejected Pawar's resignation and requested him to continue as NCP chief.




Fri, 05 May 2023 12:12 PM

NCP party workers celebrate outside party office in Mumbai







Fri, 05 May 2023 12:00 PM

NCP panel rejects Sharad Pawar's decision to quit as party chief, requests him to continue

“Mr Pawar expressed his desire to step down as president of the party. We unanimously reject the resignation. We decide unanimously that we will request him to carry on as party president,” Praful Patel says. 








 
Fri, 05 May 2023 11:58 AM

‘Party passed resolution unanimously’: NCP leader Praful Patel

""Many top leaders of the country in the past few days have reached out to Mr Pawar, Supriya Sule and even me and expressed their sentiment. We have seen the sentiments of the cadres from across districts. Everyone has expressed that he shouldn't be stepping down [as party chief]"", Vice President Praful Patel says.""There's sadness and hurt and they are upset. We can't ignore that. Whatever decision Mr Sharad Pawar took he didn't take us into confidence. We had a meeting today after he gave the responsibility to chose next party chief. Today the committee in its meeting has passed a resolution unanimously.""




Fri, 05 May 2023 11:55 AM

‘Foundation of this party’: NCP Vice President Praful Patel about Sharad Pawar

“Sharad Pawar Ji announced his resignation all of a sudden on 2nd May. He appointed a committee of party leaders for further action and to elect a new president. Today, we had a meeting of the committee,” says NCP Vice-President Praful Patel.He further said, “I constantly requested since that day that sir the country and the party needs you now. You are the foundation of this party. He is an extremely respected leader across the country. His experience and his influence can be seen across states.”




Fri, 05 May 2023 11:49 AM

NCP worker pours kerosene over self, stopped by party workers

An NCP worker poured kerosene on himself but was stopped by others inside party headquarters.








 
Fri, 05 May 2023 11:39 AM

NCP workers try to commit suicide outside party office





Unidentified NCP workers tried to commit suicide, outside NCP Party office in Mumbai 




Fri, 05 May 2023 11:29 AM

NCP Core Committee passes proposal requesting Sharad Pawar to continue as party chief

NCP's Core Committee passed a proposal requesting party chief Sharad Pawar to continue to lead the party, news agency ANI reports. 




Fri, 05 May 2023 11:24 AM

NCP's core committee meeting underway





NCP's Core Committee meeting is underway in Mumbai to decide the next party chief. This comes days after party chief Sharad Pawar announced his resignation from the post.








 
Fri, 05 May 2023 11:23 AM

Party to propose resolution to reject Sharad Pawar's resignation





“In the Core Committee meeting today, Praful Patel will propose a resolution to reject the resignation of Sharad Pawar and will request him to take back his decision,” NCP National Spokesperson Clyde Crasto says. 




Fri, 05 May 2023 11:18 AM

‘Will unanimously request Sharad Pawar to continue’: Kerala NCP President

PC Chacko, Kerala NCP president, says, “The committee will unanimously request Pawar saheb to continue (as NCP national president) as it will be in the interest of the country and party also. There is no other agenda before the committee. We will make a request and I'm sure he will go by the advice of this committee.”




Fri, 05 May 2023 10:57 AM

Jayant Patil reaches NCP Mumbai office





NCP leader Jayant Patil reached the NCP office at Ballard Estate in Mumbai.








 
Fri, 05 May 2023 10:56 AM

NCP meeting to begin at 11, leaders reach party office

NCP meeting is going to start at 11am. Senior leaders are reaching the state NCP office to attend the same.




Fri, 05 May 2023 10:53 AM

NCP leader and MP Supriya Sule reaches NCP Party office in Mumbai







Fri, 05 May 2023 10:50 AM

‘Party’s internal matter': Maharashtra Congress President





Maharashtra Congress President Nana Patole said on NCP meeting, “This is their party's internal matter, they will take a decision.” 








 
Fri, 05 May 2023 10:38 AM

NCP workers raise slogans; urge Sharad Pawar to continue as party chief





NCP workers raised slogans on Friday outside party office in Mumbai in support of Sharad Pawar continuing as NCP chief and urging him to not resign.  




Fri, 05 May 2023 10:32 AM

NCP leader Ajit Pawar arrives at the party office in Mumbai







Fri, 05 May 2023 10:16 AM

NCP meeting to be held at party HQ at 11 am

Nationalist Congress Party (NCP) meeting will be held at party headquarters in Mumbai at 11 am. The party will be deciding its successor after Sharad Pawar's decision to step down last week. 








 

","The committee comprises senior members like Supriya Sule, Ajit Pawar, Praful Patel, Chhagan Bhujbal, Dilip Walse Patil, Anil Deshmukh, Rajesh Tope and others. The panel rejected Pawar's resignation and met at his house to convince him to continue as chief of the party. The 82-year-old leader said he would take two-three days to rethink his decision."
