Unnamed: 0,headlines,date,time,author,read_more,image_url,ctext,summary
0,US First Lady Jill visits UK PM's wife Akshata ahead of Coronation,2023-05-06,09:22 am,Bhawana Chaudhary,https://www.reuters.com/world/uk/jill-biden-visits-uks-downing-street-ahead-king-charles-coronation-2023-05-05/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683343701536_613.jpg,"LONDON, May 5 (Reuters) - U.S. first lady Jill Biden met British Prime Minister Rishi Sunak's wife Akshata Murty on Friday as she visited London to represent the United States at King Charles' coronation.Meeting for the first time, Biden and Murty embraced and posed for photos in front of black door of Number 10 Downing Street, behind which lies the prime minister's residence and office.The coronation ceremony takes place on Saturday at Westminster Abbey and will be attended by foreign heads of state and dignitaries.Biden, 71, also visited a local school along with Murty on Friday afternoon, after which she was scheduled to meet staff at the U.S. embassy and King Charles at a reception in Buckingham Palace.[1/7] US First Lady Jill Biden arrives with Akshata Murty, wife of Britain's Prime Minster, her grand daughter Finnegan Biden at the Charles Dickens Primary School to meet head teacher Michael Eggleton, members of staff and pupils during a visit, in London, Britain on May 5, 2023. Oli Scarff/Pool via REUTERS""Have fun tomorrow, I’ll be thinking about all of you,"" she told children at the school, where students greeted her wearing golden paper crowns and shared a tea-party lunch.U.S. President Joe Biden has faced some criticism, notably from his predecessor and potential 2024 election rival Donald Trump, for not attending Charles' coronation.But, no U.S. president has ever attended a British monarch's coronation. During the last such event, when Charles' late mother Queen Elizabeth was crowned in 1953, then U.S. President Dwight Eisenhower sent a delegation of envoys to represent him.The White House said last month Biden had told Charles he wanted to meet him in Britain at a future date.Biden visited Northern Ireland and Ireland last month to commemorate the 25th anniversary of the Good Friday peace pact.Our Standards: The Thomson Reuters Trust Principles.","U.S. first lady Jill Biden met British Prime Minister Rishi Sunak's wife Akshata Murty on Friday. Biden, 71, is in London to represent the United States at King Charles' coronation. The coronation ceremony takes place on Saturday at Westminster Abbey and will be attended by foreign heads of state."
1,Over 1 million polio vaccines destroyed in Sudan amid violence: UN,2023-05-06,09:35 am,Bhawana Chaudhary,https://www.hindustantimes.com/world-news/sudan-crisis-over-1-million-polio-vaccines-destroyed-in-sudan-amid-clashes-un-101683321117023-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683344903312_178.jpg,"
More than 1 million polio vaccines intended for children have been destroyed as a result of looting in Sudan during the upsurge in violence since April, the UN children's agency UNICEF told Reuters on Friday.




Smoke is seen rising from buildings during clashes between the paramilitary Rapid Support Forces and the army in Khartoum. (Reuters)








""A number of cold chain facilities have been looted, damaged and destroyed, including over a million polio vaccines in South Darfur,"" Hazel De Wet, deputy director of the Office of Emergency Programmes, UNICEF told Reuters in an email.
The agency was in the middle of a series of polio vaccination campaigns in Sudan following an outbreak at the end of 2022.
Polio, a disease which mainly affects children under 5, can lead to paralysis and death. Africa was declared free of wild polio in 2020 but Malawi, Mozambique and Sudan have reported imported cases since last year.
A World Health Organization database shows there have been 28 attacks on health care facilities in Sudan since the conflict erupted last month, pitting Sudan's army against the paramilitary Rapid Support Forces.






Numerous humanitarian agencies have reported looting during the Sudan crisis including the World Food Programme, which said it lost $13-$14 million worth of supplies.

SHARE THIS ARTICLE ON







Get Latest World Newsalong with Latest Newsfrom Indiaat Hindustan Times.


Topics

sudan
unicef
polio
polio vaccine
+ 2 more





","More than 1 million polio vaccines intended for children have been destroyed as a result of looting in Sudan. Africa was declared free of wild polio in 2020 but Malawi, Mozambique and Sudan have reported imported cases since last year. There have been 28 attacks on health care facilities in Sudan since the conflict erupted last month, pitting Sudan's army against the paramilitary Rapid Support Forces."
2,Neera Tanden named as Domestic Policy Advisor to US President,2023-05-06,08:40 am,Ankush Verma,https://www.aninews.in/news/world/us/biden-names-indian-american-neera-tanden-as-his-domestic-policy-adviser20230505233218?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683341667528_110.jpg,"Washington [US], May 5 (ANI): US President Joe Biden on Friday (local time) announced that Indian-American Neera Tanden will serve as the next head of his domestic policy council, replacing outgoing adviser Susan Rice.""For over two years, Susan Rice has helped craft and implement my domestic policy agenda and our country owes a debt of gratitude for her history-making public service. I am pleased to announce that Neera Tanden will continue to drive the formulation and implementation of my domestic policy, from economic mobility and racial equity to health care, immigration and education,"" read Biden's statement.Tanden will be the first Asian-American to lead any of the three major White House policy councils in history.Tanden, who previously served as assistant to the president and staff secretary, will be replaced by Stefanie Feldman. Feldman, a longtime Biden adviser, is deputy assistant to the president and senior adviser to the White House domestic policy adviser.As Senior Advisor and Staff Secretary, Neera oversaw decision-making processes across US's domestic, economic and national security teams. She has 25 years of experience in public policy, has served three Presidents, and led one of the largest think tanks in the country for nearly a decade.Tanden currently serves as Senior Advisor to President Biden and Staff Secretary. She served in both the Obama and Clinton administrations, as well as presidential campaigns and think tanks. Most recently, Neera was the President and CEO of the Center for American Progress and the Center for American Progress Action Fund.""She was a key architect of the Affordable Care Act and helped drive key domestic policies that became part of my agenda, including clean energy subsidies and sensible gun reform. While growing up, Neera relied on some of the critical programs that she will oversee as Domestic Policy Advisor, and I know those insights will serve my Administration and the American people well. I look forward to continuing to work closely with Neera in her new role,"" said Biden.Tanden previously served as senior advisor for health reform at the Department of Health and Human Services, working on President Obama's health reform team in the White House. Prior to that, she was the director of domestic policy for the Obama-Biden presidential campaign, and served as policy director for the Hillary Clinton presidential campaign.Additionally, Zayn Siddique will be promoted to Principal Deputy of the Domestic Policy Council. Zayn Siddique currently serves as Deputy Assistant to the President for Economic Mobility and Deputy Director of the Domestic Policy Council.In this role, he leads White House policy development on issues including housing, child care, education, workforce, and agriculture.Previously, Siddique served as Senior Advisor to the White House Deputy Chief of Staff for Policy Bruce Reed. He also served as Chief of Staff for the Domestic and Economic Team for the Biden-Harris Transition and as a member of Vice President Harris's prep team for the 2020 Vice-Presidential Debate.Stefanie Feldman has worked for President Biden for more than a decade. She currently serves as Deputy Assistant to the President and Senior Advisor to the White House Domestic Policy Advisor. Previously, she served as the National Policy Director for the Biden-Harris presidential campaign, the inaugural Policy Director for the Biden Institute at the University of Delaware's Joseph R. Biden School of Public Policy & Administration, and in various policy roles in the White House Office of the Vice President during the Obama-Biden Administration. (ANI)","US President Joe Biden announced that Indian-American Neera Tanden will serve as the next head of his domestic policy council. She will be the first Asian-American to lead any of the three major White House policy councils in history. She previously served as assistant to the president and staff secretary, will be replaced by Stefanie Feldman."
3,At least 176 people killed in flash floods in eastern Congo,2023-05-06,10:21 am,Bhawana Chaudhary,https://www.hindustantimes.com/world-news/floods-in-dr-congo-over-170-killed-as-heavy-rainfall-triggers-devastating-floods-in-eastern-congo-101683319821789-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683346451421_976.jpg,"
More than 170 people have died after heavy rains and flooding in eastern DR Congo's South Kivu province, officials said Friday, after torrential downpours killed dozens in neighbouring Rwanda.




Eastern Congo's deadly flooding follows the death of at least 127 people this week(BBC)








Read here: Atleast 130 killed as heavy rainfall triggers devastating floods in Rwanda
South Kivu governor Theo Ngwabije said dozens of people were unaccounted for in the Kalehe region, west of Lake Kivu and near the Rwandan border, where the floods also washed away hundreds of homes.
""We have about 176 people dead,"" he said while visiting the affected area.
""This toll is provisional,"" he said. ""We also have about 100 people missing.""
Archimede Karhebwa, the assistant administrator of Kalehe, had earlier told AFP that about 100 people had died, according to a provisional toll.
Several villages in Kalehe were submerged when rivers burst their banks after heavy rains, he said.
Karhebwa said the floods carried away hundreds of houses and also ""surprised vendors and their clients in the markets"".






Innocent Mupenda, a civil society figure from the region, said a downpour started on Thursday afternoon, before the ""river carried away villagers"".
His mother and 11 children died in the flood, Mupenda said.
Vital Muhini, an elected official from Kalehe, also told a local radio station that the floods had been ""devastating human and material damage"". He put the number of deaths at around 150.
AFP was unable to independently confirm the death toll, with reported figures varying.
A member of a rescue team deployed on Friday afternoon, who declined to be named, said ""the search is continuing in the rubble"".
Eastern Congo's deadly flooding follows the death of at least 127 people this week after downpours in neighbouring Rwanda, which lies on the other side of Lake Kivu.‘Sending out an SOS’






Karhebwa, Kalehe's assistant administrator, said that the rivers have burst their banks and caused disastrous flooding on four previous occasions.
The area had been studied and people living by the river requested to leave, he explained.
Deforestation in the area and climate change have contributed to the flooding problem, according to Karhebwa.
""We are sending out an SOS to people of good will and for urgent humanitarian aid,"" he said.
Heavy downpours during rainy seasons in central Africa regularly lead to flooding and landslides.
But experts say extreme weather events in Africa are happening with increased frequency and intensity due to climate change.
Read here: Heavy rainfall, floods and thunderstorms were the major extreme weather events in 2022: Report






Last month, a landslide provoked by torrential downpours killed around 20 people in North Kivu, a province that neighbours South Kivu.
The Democratic Republic of Congo, a vast nation the size of continental western Europe, is one of the poorest countries in the world, riddled by corruption and conflict in its east.

SHARE THIS ARTICLE ON







Get Latest World Newsalong with Latest Newsfrom Indiaat Hindustan Times.


Topics

flooding
dr congo





","More than 170 people have died after heavy rains and flooding in eastern DR Congo's South Kivu province. Dozens of people were unaccounted for in the Kalehe region, west of Lake Kivi and near the Rwandan border. It follows the death of at least 127 people this week after downpours in neighbouring Rwanda."
4,Moment of pride: Sunak on UK King Charles' multifaith coronation,2023-05-06,02:45 pm,Disha Jana,https://www.hindustantimes.com/world-news/king-charles-coronation-on-multi-faith-coronation-what-rishi-sunak-said-moment-of-pride-101683334485411-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683363598561_894.jpg,"
Indian-origin British Prime Minister Rishi Sunak shared a special message as the UK counts down to the coronation of King Charles III. Highlighting the central role to be played by all faiths in the religious ceremony, Rishi Sunak said, “In the Abbey where monarchs have been crowned for almost a thousand years, representatives of every faith will play a central role for the first time.”Read more: Only ‘curt nod’ between Harry- William at coronation: Why royal expert said this




Britain's Prime Minister Rishi Sunak attends an informal meeting with Commonwealth leaders at Marlborough House in London.(AFP)








The first-ever Hindu incumbent of 10 Downing Street will read from the biblical book of Colossians- following the recent tradition of UK prime ministers giving readings at State occasions. His wife will also be at the head of a procession of flag-bearers.
""The Coronation of King Charles III and Queen Camilla will be a moment of extraordinary national pride. Together with friends from across the Commonwealth and beyond, we will celebrate the enduring nature of our great monarchy: its constancy, devotion to duty, and service to others. No other country could put on such a dazzling display – the processions, the pageantry, the ceremonies, and street parties,"" Rishi Sunak said.Read more: His behaviour 'hurtful, cruel': King Charles' friend slams Prince Harry






Stressing that the coronation is a proud expression of UK's history, culture, and traditions, Rishi Sunak said, ""A vivid demonstration of the modern character of our country. And a cherished ritual through which a new era is born… And in a fitting tribute to the spirit of service that will define the Carolean Age, people across our country will help their communities with thousands of acts of kindness.
“So let's celebrate this weekend with pride in who we are and what we stand for. Let's look to the future with hope and optimism. And let's make new memories, so we can tell our grandchildren of the day we came together to sing: ‘God Save The King’”, he said. 

SHARE THIS ARTICLE ON







Get Latest World Newsalong with Latest Newsfrom Indiaat Hindustan Times.







ABOUT THE AUTHOR









Mallika Soni



When not reading, this ex-literature student can be found searching for an answer to the question, ""What is the purpose of journalism in society?""...view detail









Topics

rishi sunak
king charles coronation





",Indian-origin British Prime Minister Rishi Sunak shared a special message as the UK counts down to the coronation of King Charles III. The first-ever Hindu incumbent of 10 Downing Street will read from the biblical book of Colossians- following the recent tradition of UK prime ministers giving readings at State occasions.
5,Prince Harry & Prince Andrew to have no formal role at Coronation,2023-05-06,02:22 pm,Bhawana Chaudhary,https://www.independent.co.uk/life-style/royal-family/prince-harry-prince-andrew-role-coronation-b2333184.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683361724207_406.jpg,"The Duke of Sussex and Duke of York will not have any formal role at the coronation, Buckingham Palace has confirmed.Harry and Andrew, who are no longer working royals, will attend the service today (6 May) but will not perform any formal duties.They will also be absent from the procession behind the Golden State Coach carrying the newly crowned King and Queen from Westminster Abbey back to Buckingham Palace after the ceremony.Prince Harry will be seeing his father, brother and relatives for the first time since he published his tell-all memoir Spare, in which he made several claims criticising members of his family.In the book, Harry alleged that his brother William physically attacked him and went into detail about the breakdown of his relationship with senior members of the royal family. Read the most explosive claims made in the memoir here.The royal stepped back from duties in 2020 and moved to Montecito, California with his wife Meghan.The Duke of Sussex will be in attendance without Meghan, who has stayed in California with their children Prince Archie, who is celebrating his fourth birthday today, and Princess Lilbet, one.Prince Andrew, who is the brother of King Charles, stepped down from royal duties in 2019 over his links to convicted paedophile Jeffrey Epstein. In January 2022, he was stripped of his HRH title after he was accused of sexual assault by Virginia Giuffre, a victim of Epstein’s. He has vehemently and continuously denied these claims.In February 2022, Andrew reached a multi-million pound out of court settlement with Giuffre, which included damages and a donation to her charity “in support of victims’ rights”.In a statement confirming the settlement, Andrew said he “regrets his association with Epstein and commends the bravery of Ms Giuffre and other survivors in standing up for themselves and others”.The coronation will mark the first time both Harry and Andrew make an official public appearance since the funeral of Queen Elizabeth II in September.Follow the latest coronation updates here.Additional reporting by Press Association.","Harry and Andrew will attend the service but will not perform any formal duties. They will also be absent from the procession behind the Golden State Coach carrying the newly crowned King and Queen back to Buckingham Palace after the ceremony. The Duke of Sussex will be in attendance without Meghan, who has stayed in California with their children Prince Archie, who is celebrating his fourth birthday today."
6,Sydney Opera House to not light up for Coronation to save costs,2023-05-06,12:07 pm,Bhawana Chaudhary,https://www.hindustantimes.com/world-news/king-charles-coronation-australias-sydney-shocks-with-this-king-charles-coronation-snub-to-save-costs-101683336430678-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683353374709_821.jpg,"
Australia's Sydney Opera House will not light up its sails to mark the coronation of King Charles- considered head of state across the country. The decision is a cost saving measure, a spokesperson for the state government of New South Wales said as per news agency Reuters. Read more: What royal family members will do at King Charles' coronation




This picture shows the Sydney Opera House with its lights switched off.(AFP)








The role of the monarchy has been controversial in Australia as the country held a referendum in 1999 on becoming a republic. Then, 55% of voters opposed, although recent polls showed decreased level of supports for the monarchy. 
Many public buildings and monuments, including Parliament House in Canberra, will be illuminated in royal purple to mark the coronation. The Sydney Opera House was lit up in September to pay respect to Queen Elizabeth II following her death. 
""The New South Wales Government believe it has struck the right balance in terms of meeting community expectations on commemorating the occasion while being mindful of public expense,"" the government spokesperson said.Read more: On multi-faith coronation, UK PM Rishi Sunak says, 'moment of pride'






This comes as Australian PM Anthony Albanese arrived in London for the coronation. 
""I want to see an Australian as Australia's head of state ... That doesn't mean that you can not have respect for the institution, which is the system of government that we have"", he said.
In addition to Australia, King Charles is the head of state in New Zealand and 12 other Commonwealth realms outside the United Kingdom. 

SHARE THIS ARTICLE ON







Get Latest World Newsalong with Latest Newsfrom Indiaat Hindustan Times.







ABOUT THE AUTHOR









Mallika Soni



When not reading, this ex-literature student can be found searching for an answer to the question, ""What is the purpose of journalism in society?""...view detail









Topics

king charles coronation
royal family





","Australia's Sydney Opera House will not light up its sails to mark the coronation of King Charles- considered head of state across the country. The decision is a cost saving measure, a spokesperson for the state government of New South Wales said. The role of the monarchy has been controversial in Australia as the country held a referendum in 1999 on becoming a republic."
7,Anti-monarchy protesters held in UK amid King Charles' coronation,2023-05-06,03:29 pm,Disha Jana,https://www.reuters.com/world/uk/police-arrest-anti-monarchy-protesters-ahead-king-charles-coronation-2023-05-06/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683366410081_617.jpg,"LONDON, May 6 (Reuters) - Police arrested the leader of the anti-monarchy group Republic hours before King Charles' coronation on Saturday, taken away from a few hundred protesters who had gathered among the crowds lining the procession route in central London.Republic had said it would mount the biggest protest against a British monarch in modern history. Protesters wore yellow t-shirts to stand out and held up signs saying ""Not My King"".They spent most of the service booing or singing songs such as ""he is just a normal man"".But London police had warned they would take action if protesters tried to ""obstruct the enjoyment and celebration"" of the day, and they formed a ring around the group.Republic said its leader Graham Smith had been detained on Saturday morning and a photo posted on Twitter showed him sitting on the ground surrounded by police officers.""It is disgusting and massively over the top,"" said Kevin John, 57, a salesman from Devon who was among the protesters.""It is also hugely counterproductive by the police because all it has done is create a massive amount of publicity for us. It is completely crazy.""Police did not confirm Smith's arrest but said they had arrested four people on suspicion of causing a public nuisance and three people on suspicion of possessing articles to cause criminal damage in what they called a ""significant police operation"".Republic said hundreds of its placards had been seized.Protests also took place in Glasgow in Scotland and Cardiff in Wales, with signs held up saying: ""Abolish the monarchy, feed the people."" On social media, many contrasted the cost of living crisis in Britain with the pomp and pageantry on display at the coronation.Although the protesters were in a minority compared with the tens of thousands gathered on London’s streets to support the king, polls suggest support for the monarchy is declining and is weakest among young people.With the crown passing from Queen Elizabeth to her less popular son, republican activists hope Charles will be the last British monarch to be crowned.[1/7] Protesters hold placards as people gather on the day of Britain's King Charles and Queen Camilla's coronation ceremony, in London, Britain May 6, 2023. REUTERS/Piroschka van de Wouw/Pool""It has a hereditary billionaire individual born into wealth and privilege who basically symbolises the inequality of wealth and power in our society,"" said lawmaker Clive Lewis, who was among the anti-monarchy protesters.In London, protesters demanded an elected head of state. They say that the royal family has no place in a modern constitutional democracy and is staggeringly expensive to maintain.Most of the anti-monarchy protesters on Saturday had congregated in Trafalgar Square next to the bronze statue of King Charles I, who was beheaded in 1649, leading to a short-lived republic.Some held up signs saying ""privatise them"" and ""abolish the monarchy, not the right to protest"".Other signs featured a picture of Meghan, the wife of Charles' son Prince Harry, with the words ""the people's princess"", and ""God Save the King"" with a picture of the late soccer great Pele.Since Charles became king last September, there have been protests at royal events. He was heckled at a Commonwealth Day event at Westminster Abbey in March and targeted with eggs in York in November.The death of the queen has also reignited debate in other parts of the world, such as Australia and Jamaica, about the need to retain Charles as their head of state.The state government of New South Wales said it had decided not to light up the sails of the Sydney Opera House to mark the coronation, in order to save money.While many other European monarchies have come and gone, or are far diminished in scale and importance, the British royal family has remained remarkably resilient.In Britain, polls show the majority of the population still want the royal family, but there is a long-term trend of declining support.A poll by YouGov last month found 64% of people in Britain said they had little or no interest in the coronation. Among those aged 18 to 24, the number voicing little or no interest rose to 75%.More than 11,000 police officers are on patrol for the coronation, the biggest ceremonial event staged in the British capital for 70 years.Our Standards: The Thomson Reuters Trust Principles.","Police arrest the leader of the anti-monarchy group Republic hours before King Charles' coronation. Protesters wore yellow t-shirts to stand out and held up signs saying ""Not My King"" London police had warned they would take action if protesters tried to ""obstruct the enjoyment and celebration"" of the day."
8,Trump may reinstate 'Muslim Ban' if re-elected in 2024: Report,2023-05-06,12:24 pm,Bhawana Chaudhary,https://www.hindustantimes.com/world-news/trumps-2024-re-election-bid-includes-plans-to-reinstate-infamous-muslim-ban-add-more-countries-to-the-list-reports-101683339288559-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683354841106_279.jpg,"
Former President Donald Trump has privately told close associates that he plans to reinstate his infamous ""Muslim ban"" if he is reelected in 2024, according to US daily Rolling Stone. Trump has reportedly called the policy ""beautiful"" and has expressed interest in adding more majority-Muslim countries to the list of those banned from entering the United States.




Former U.S. President and Republican presidential candidate Donald Trump attends a campaign event in Manchester, New Hampshire,(REUTERS)








Banning Muslims from entering the United States has been a long-standing obsession for Trump, dating back to his presidential campaign in 2015 when he called for a ""total and complete shutdown of Muslims entering the United States."" Just a few days after taking office in 2017, he signed an executive order banning the entry of citizens from seven majority-Muslim countries for 90 days. The ban was met with chaos and confusion at U.S. airports and ports of entry, and led to a diplomatic fallout with Iraq.










Federal courts blocked the initial order, but in 2018, the Supreme Court narrowly approved a subsequent revision of the ban. President Joe Biden reversed the executive order in one of his first executive orders after taking office.
While Trump has hinted at his interest in a reinvigorated travel ban in recent speeches, the idea has not received much public scrutiny. Trump has also touted other hardline anti-immigration policies while campaigning for a potential 2024 bid, including fully securing the border and removing illegal aliens.
Former top Trump White House policy aide Stephen Miller, who helped write the executive order for the original Muslim ban, has also been pressing for a renewed ban. ""Bring back the travel ban. Now,"" Miller wrote on Twitter in August. Miller and other MAGA conservatives have focused on Afghanistan, expressing outrage when the United States took in refugees as the country fell to the Taliban in 2021.






Trump's interest in a second term is not just limited to hardline immigration policies, as he has also proposed bringing back firing squads and mass executions, fantasizing about journalists being raped in prison, and bombing Mexico. His appearance at CPAC featured a speech where he declared himself as the people's ""retribution.""
Also read | Donald Trump goes on rampage, throws reporter's phones and kicks him off plane for questioning criminal probe
Critics of the ban have argued that it is an incoherent policy mess that ruined countless families' lives, and would only cause more chaos in the already struggling legal immigration system. It remains to be seen if Trump's plans for a renewed ban will gain any traction in his run for president in 2024.







SHARE THIS ARTICLE ON







Get Latest World Newsalong with Latest Newsfrom Indiaat Hindustan Times.


Topics

travel ban
United States
Supreme Court
dating
donald trump
+ 3 more





","Former President Donald Trump has privately told close associates that he plans to reinstate his infamous ""Muslim ban"" if he is reelected in 2024. Trump has reportedly called the policy ""beautiful"" and has expressed interest in adding more majority-Muslim countries to the list of those banned from entering the United States."
9,What are the rules that Charles has to follow as King?,2023-05-06,12:50 pm,Ankush Verma,https://www.independent.co.uk/life-style/royal-family/king-charles-coronation-rules-b2333461.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/05_may/6_sat/img_1683356903024_886.jpg,"The coronation of King Charles III will take place tomorrow, and with it comes a whole set of rules he must follow as Britain’s newest monarch.The ceremony on Saturday 6 May at Westminster Abbey will see King Charles crowned alongside his wife, Queen Consort Camilla. The coronation will be a more “slimmed-down” service than year’s past, with some 2,000 guests invited. The limited guest list is a stark departure from the coronation of his mother, the late Queen Elizabeth II, which was attended by 8,000 guests with 129 nations and territories officially represented at the ceremony.In fact, it’s likely there will be many differences between King Charles’ reign and the late Queen’s. The slimmed-down affair is in line with his concerns over the cost-of-living crisis and his long-standing vision of a modern monarchy. Plus, a close friend of King Charles has suggested the new monarch would be horrified by the public pledging allegiance to him, saying the idea was “ill advised” and not something Charles would have wanted.While much has changed in the last 70 years since Queen Elizabeth was crowned, some royal protocol has stayed the same. Here are just some of the rules King Charles must abide by now that he’s king.The King must wait one year before his coronationRoyal tradition states that the coronation of a new monarch must take place after an appropriate time has passed following the death of the former monarch. Queen Elizabeth II acceded to the throne on 6 February 1952 after the death of her father, King George VI, but wasn’t crowned until 2 June 1953.On 11 October 2022, Buckingham Palace confirmed King Charles’ coronation would occur on Saturday 6 May 2023, less than one month before the 70th anniversary of his mother’s coronation.He must maintain political neutralityIt is a well-known rule that the royal family are required to remain politically neutral. However, they are allowed to raise awareness towards certain humanitarian issues, such as mental health issues and climate change.He can’t sign autographs or pose for selfiesMembers of the British royal family are banned from signing autographs to avoid the risk of their signature being forged. King Charles reportedly responds to autograph requests with: “Sorry, they don’t allow me to do that.”However, the then-Prince of Wales did break royal protocol when he signed an autograph for a victim of the devastating flash floods in Cornwall in 2010, scrawling on a piece of paper: “Charles 2010.”While it’s not against royal protocol to take selfies with fans, the late Queen reportedly frowned upon it. Meghan Markle declined to take a selfie in 2017 when she said, according to royal journalist Victoria Murphy: “We’re not allowed to do selfies.”Another royal fan who attended the Queen’s garden party at Buckingham Palace in 2017 said they weren’t allowed to take selfies with the royals because ""they didn’t want people turning their backs to them.""The King must accept all giftsThe royals must accept all gifts that are given to them during public appearances or on official tours. Though, it’s been reported that the Queen had final say on which members of the family get to keep which gift.On the Royal Family’s official site, it states: “The fundamental principle governing the acceptance of gifts by Members of The Royal Family is that no gifts, including hospitality or services, should be accepted which would, or might appear to, place the Member of The Royal Family under any obligation to the donor.”He can’t eat food from strangers (especially shellfish)King Charles is not permitted to accept food or drink from strangers out of fear of getting sick or poisoned. The same goes for shellfish, which royals are instructed to avoid so that a potential food poisoning doesn’t impede their busy schedules.“When dining, the royal family has to be careful with shellfish due to shellfish poisoning due to their work schedules,” former royal butler and etiquette expert Grant Harrold told Express. “Therefore, you will not normally find this on the royal menu.”The King must follow dining etiquetteIt was commonly known that the Queen only spoke to the person on her right during the first course of dinner, then switched her attention to the person on her left for the second course. When Formula One driver Lewis Hamilton sat to the left of Her Majesty during a luncheon, he was told off by the Queen when he tried to speak to her at the start of the meal.“I got invited to a lunch and was sitting next to The Queen,"" he said during an appearance on the Graham Norton Show in 2015. ""I was excited and started to talk to her but she said, pointing to my left, ‘No, you speak that way first and I’ll speak this way and then I’ll come back to you.’”King Charles is not allowed to travel with the Prince of WalesAccording to royal protocol, two direct heirs to the throne must take separate flights while traveling in case something were to happen en route. The same rule will apply to Prince William and his son, Prince George, once the young royal turns 12 years old.He must always pack a black outfit when he travelsIt is protocol that the royals must pack a black outfit while travelling, to ensure they have something appropriate to wear in case they have to attend a last-minute funeral.The monarch doesn’t need a driver’s license to get behind the wheelThe King also enjoys special driving privileges, as he is the only person in the United Kingdom who can drive without a license. This is because driving licenses are issued by “His Majesty’s Government under His Majesty’s authority,” perThe Mirror.","The coronation of King Charles III will take place tomorrow at Westminster Abbey. The ceremony will see him crowned alongside his wife, Queen Consort Camilla. The coronation will be a more ""slimmed-down"" service than year’s past, with some 2,000 guests invited."
